LOCATION,TIME,Land area (hectare),Agricultural land (% of land area),Forest area (% of land area),Cereal yield (kg per hectare),Cash Crop yield(kg per hectare),Employment in agriculture (% of total employment) (modeled ILO estimate),Livestock production index (2004-2006 = 100)
AFG,1960,0,0,6.857398581,0,0,77.55077083,42.9363
AFG,1961,65286000,57.74591796,6.171658723,1115.1,223.02,78.33411195,43.37
AFG,1962,65286000,57.83782128,6.23399871,1079,215.8,87.03790216,43.99
AFG,1963,65286000,57.91440738,6.296968394,985.8,197.16,78.33411195,47.03
AFG,1964,65286000,58.01090586,6.360574136,1082.8,216.56,79.1253656,48.56
AFG,1965,65286000,58.0139693,6.424822359,1098.9,219.78,87.91707289,51.43
AFG,1966,65286000,58.07217474,6.489719555,1012.3,202.46,79.1253656,56.97
AFG,1967,65286000,58.17326839,6.555272278,1224.5,244.9,79.92461172,60.26
AFG,1968,65286000,58.17480011,6.621487149,1287.5,257.5,71.93215055,64.81
AFG,1969,65286000,58.19930766,6.688370858,1310.4,262.08,72.65873793,65.16
AFG,1970,65286000,58.21462488,6.755930159,1105.1,221.02,80.73193103,59.48
AFG,1971,65286000,58.26057654,6.824171878,976.2,195.24,72.65873793,57.6
AFG,1972,65286000,58.27589376,6.893102907,1006.9,201.38,73.39266457,53.05
AFG,1973,65286000,58.2789572,6.962730209,1279.6,255.92,81.54740508,58.33
AFG,1974,65286000,58.2789572,7.033060817,1301.9,260.38,73.39266457,60.87
AFG,1975,65286000,58.2789572,7.104101836,1316.4,263.28,74.13400462,63.25
AFG,1976,65286000,58.2789572,7.17586044,1362.4,272.48,66.72060416,68.93
AFG,1977,65286000,58.28202065,7.248343879,1224,244.8,67.39454965,68.44
AFG,1978,65286000,58.28202065,7.321559474,1291.9,258.38,74.88283295,69.24
AFG,1979,65286000,58.28048893,6.589403526,1323.7,264.74,67.39454965,69.8
AFG,1980,65286000,58.28048893,5.930463174,1349,269.8,68.07530268,70.84
AFG,1981,65286000,58.28661581,5.337416856,1338.3,267.66,75.6392252,72.86
AFG,1982,65286000,58.28814754,4.803675171,1330.2,266.04,68.07530268,73.31
AFG,1983,65286000,58.28814754,4.323307654,1355.6,271.12,68.762932,71.89
AFG,1984,65286000,58.28814754,3.890976888,1334.1,266.82,61.8866388,68.09
AFG,1985,65286000,58.28814754,3.501879199,1331.7,266.34,62.51175637,61.16
AFG,1986,65286000,58.28814754,3.151691279,1314,262.8,69.45750707,51.88
AFG,1987,65286000,58.27436204,2.836522152,1359.8,271.96,62.51175637,55.41
AFG,1988,65286000,58.26670343,2.552869936,1285.7,257.14,63.14318825,57.94
AFG,1989,65286000,58.26670343,2.297582943,1237.6,247.52,70.15909805,60.21
AFG,1990,65286000,58.26670343,2.067824648,1200.6,240.12,63.14318825,70.69
AFG,1991,65286000,58.25138621,2.067824648,1160.4,232.08,63.78099823,72.21
AFG,1992,65286000,58.25138621,2.067824648,1097.8,219.56,63.95999908,71.79
AFG,1993,65286000,58.1043409,2.067824648,1132.9,226.58,64.72799683,76.43
AFG,1994,65286000,57.91900254,2.067824648,1140.4,228.08,65.54199982,84.36
AFG,1995,65286000,57.82709922,2.067824648,1214.5,242.9,64.55799866,91.21
AFG,1996,65286000,57.8255675,2.067824648,1204.4,240.88,64.88400269,100.89
AFG,1997,65286000,57.88377294,2.067824648,1348.8,269.76,65.12999725,110.19
AFG,1998,65286000,58.00171553,2.067824648,1388,277.6,65.30699921,117.91
AFG,1999,65286000,57.82709922,2.067824648,1285.7,257.14,65.53500366,123.59
AFG,2000,65286000,57.82709922,2.067824648,806.3,161.26,65.89700317,104.47
AFG,2001,65286000,57.82709922,2.067824648,1006.7,201.34,66.40399933,83.38
AFG,2002,65286000,57.82709922,2.067824648,1669.8,333.96,64.31800079,103.58
AFG,2003,65286000,58.06757957,2.067824648,1458,291.6,63.64799881,97.99
AFG,2004,65286000,58.06911129,2.067824648,1334.8,266.96,63.29800034,105.03
AFG,2005,65286000,58.06757957,2.067824648,1790.4,358.08,62.24499893,103.31
AFG,2006,65286000,58.06757957,2.067824648,1551.7,310.34,61.45399857,91.66
AFG,2007,65286000,58.06757957,2.067824648,1915.3,383.06,60.18399811,94.8
AFG,2008,65286000,58.06757957,2.067824648,1455.4,291.08,59.29399872,98.86
AFG,2009,65286000,58.06757957,2.067824648,2040.7,408.14,56.95100021,101.92
AFG,2010,65286000,58.06911129,2.067824648,2011.1,402.22,54.68500137,105.45
AFG,2011,65286000,58.06757957,2.067824648,1659.9,331.98,53.61999893,107.94
AFG,2012,65286000,58.06757957,2.067824648,2029.6,405.92,51.43500137,109.26
AFG,2013,65286000,58.06757957,2.067824648,2048.5,409.7,49.84199905,103.97
AFG,2014,65286000,58.06757957,2.067824648,2017.5,403.5,48.45100021,101.71
AFG,2015,65286000,58.06757957,2.067824648,2133,426.6,47.11399841,98.9
AFG,2016,65286000,58.06757957,2.067824648,1981.6,396.32,45.8030014,98.7
AFG,2017,65286000,0,0,2024.7,404.94,43.98899841,98.6999013
AFG,2018,65286000,0,0,0,0,43.38399887,98.6998026
AFG,2019,0,0,0,0,0,42.8390007,98.6997039
AFG,2020,0,0,0,0,0,42.35200119,98.6996052
ALB,1960,0,0,29.93328458,0,0,67.98535667,23.8392
ALB,1961,2740000,44.96350365,29.93627821,845.2,169.04,68.67207745,24.08
ALB,1962,2740000,44.96350365,29.93927213,941.8,188.36,76.30230828,24.44
ALB,1963,2740000,45,29.94226636,982.3,196.46,68.67207745,24.45
ALB,1964,2740000,44.89051095,29.94526089,1023.3,204.66,69.3657348,24.09
ALB,1965,2740000,45.1459854,29.94825571,1037.3,207.46,77.07303866,24.98
ALB,1966,2740000,45.25547445,29.95125084,1318.6,263.72,69.3657348,25.85
ALB,1967,2740000,45.40145985,29.95424626,1464.1,292.82,70.06639878,29.09
ALB,1968,2740000,45.25547445,29.95724198,1553.7,310.74,63.05975891,27.47
ALB,1969,2740000,45.0729927,29.96023801,1639.8,327.96,63.69672617,28.05
ALB,1970,2740000,44.89051095,29.96323433,1646.1,329.22,70.77414019,29.03
ALB,1971,2740000,43.79562044,29.96623096,1753.6,350.72,63.69672617,30.93
ALB,1972,2740000,42.84671533,29.96922788,1768.7,353.74,64.34012744,30.45
ALB,1973,2740000,41.82481752,29.6695356,1843,368.6,71.48903049,32.01
ALB,1974,2740000,40.94890511,29.37284024,1934.5,386.9,64.34012744,32.89
ALB,1975,2740000,39.41605839,29.07911184,2028.9,405.78,64.99002772,33.15
ALB,1976,2740000,39.23357664,28.78832072,2445.1,489.02,58.49102495,35.27
ALB,1977,2740000,40.47445255,28.50043752,2550.1,510.02,59.08184338,36.3
ALB,1978,2740000,40.65693431,28.21543314,2620.2,524.04,65.64649265,40.06
ALB,1979,2740000,40.76642336,27.93327881,2634.8,526.96,59.08184338,41.56
ALB,1980,2740000,40.80291971,28.21543314,2364,472.8,59.67862968,42.7
ALB,1981,2740000,40.72992701,28.50043752,2500.6,500.12,66.30958853,44.75
ALB,1982,2740000,40.65693431,28.78832072,2715.2,543.04,59.67862968,44.94
ALB,1983,2740000,40.51094891,29.07911184,3046,609.2,60.28144412,45.44
ALB,1984,2740000,40.62043796,29.37284024,2966.3,593.26,54.25329971,44.17
ALB,1985,2740000,40.58394161,29.6695356,2900.6,580.12,54.80131284,43.38
ALB,1986,2740000,40.54744526,29.96922788,2990.3,598.06,60.8903476,43.18
ALB,1987,2740000,40.54744526,29.6695356,2965.6,593.12,54.80131284,45.9
ALB,1988,2740000,40.76642336,29.37284024,2875,575,55.35486145,50.02
ALB,1989,2740000,40.51094891,29.07911184,2961.7,592.34,61.50540161,52.68
ALB,1990,2740000,40.91240876,28.78832072,2794.4,558.88,55.35486145,57.97
ALB,1991,2740000,41.13138686,28.71715239,2071.9,414.38,55.91400146,56.4
ALB,1992,2740000,41.13138686,28.64598629,2158.6,431.72,56.13399887,63.03
ALB,1993,2740000,41.09489051,28.57481796,2685,537,55.47000122,67.34
ALB,1994,2740000,41.09489051,28.50364964,2460.9,492.18,54.8409996,79.36
ALB,1995,2740000,41.13138686,28.43248131,2841.5,568.3,54.25699997,89.36
ALB,1996,2740000,41.27737226,28.36131298,2450.9,490.18,53.95800018,93.67
ALB,1997,2740000,41.42335766,28.29014688,2833.3,566.66,54.49900055,82.58
ALB,1998,2740000,41.56934307,28.21897855,2872.1,574.42,53.70399857,80.99
ALB,1999,2740000,41.78832117,28.14781022,2798.1,559.62,52.65100098,84.59
ALB,2000,2740000,41.75182482,28.07664189,3175.1,635.02,51.5909996,89.31
ALB,2001,2740000,41.56934307,28.17226215,3030.8,606.16,50.34700012,91.38
ALB,2002,2740000,41.60583942,28.26788241,3291.9,658.38,49.4129982,94.09
ALB,2003,2740000,40.91240876,28.36350267,3185.7,637.14,48.61500168,97.98
ALB,2004,2740000,40.94890511,28.45912516,3466.3,693.26,47.90299988,101.24
ALB,2005,2740000,39.30656934,28.55474542,3462.1,692.42,47.2140007,98.52
ALB,2006,2740000,40.87591241,28.51021871,3602.6,720.52,46.31299973,100.25
ALB,2007,2740000,40.83941606,28.46569423,3728.4,745.68,45.49900055,103.57
ALB,2008,2740000,43.10218978,28.42116753,4081.2,816.24,44.65599823,97.48
ALB,2009,2740000,43.84306748,28.37664305,4315.3,863.06,44.05199814,98.99
ALB,2010,2740000,43.84306748,28.33211634,4761.8,952.36,42.08399963,101.02
ALB,2011,2740000,43.83211679,28.29708127,4750.7,950.14,45.38800049,104.66
ALB,2012,2740000,43.84306748,28.26204397,4883.8,976.76,46.04299927,108.27
ALB,2013,2740000,43.33211857,28.22700668,4949.8,989.96,44.19800186,110.78
ALB,2014,2740000,42.8573007,28.1919716,4892.6,978.52,42.88899994,111.07
ALB,2015,2740000,42.85766602,28.15693431,4873.8,974.76,41.36299896,111.72
ALB,2016,2740000,43.12773544,28.12189701,4716.4,943.28,39.75899887,113.07
ALB,2017,2740000,0,0,4813,962.6,38.20399857,113.0698869
ALB,2018,2740000,0,0,0,0,37.31399918,113.0697739
ALB,2019,0,0,0,0,0,36.69100189,113.0696608
ALB,2020,0,0,0,0,0,36.09199905,113.0695477
DZA,1960,0,0,0.727745103,0,0,29.12424698,14.6916
DZA,1961,238174000,19.09150453,0.727817884,346.2,69.24,29.41843129,14.84
DZA,1962,238174000,18.85176384,0.727890674,814,162.8,32.68714588,13.82
DZA,1963,238174000,18.688018,0.72796347,803.8,160.76,29.41843129,12.72
DZA,1964,238174000,18.54274606,0.728036273,530.2,106.04,29.71558716,14.52
DZA,1965,238174000,18.54400564,0.728109084,606.3,121.26,33.01731907,16.03
DZA,1966,238174000,18.54400564,0.728181903,403.9,80.78,29.71558716,17.01
DZA,1967,238174000,18.57927398,0.728254728,631.4,126.28,30.01574461,18.16
DZA,1968,238174000,18.55912064,0.728327561,705.2,141.04,27.01417015,20.25
DZA,1969,238174000,18.55912064,0.728400401,614.9,122.98,27.28704055,21.08
DZA,1970,238174000,18.56457884,0.728473248,637.5,127.5,30.31893395,21.14
DZA,1971,238174000,19.07554981,0.728546103,587.8,117.56,27.28704055,23
DZA,1972,238174000,19.06001495,0.728618965,671.7,134.34,27.56266723,24.15
DZA,1973,238174000,18.60152661,0.721332775,493.7,98.74,30.62518581,25.1
DZA,1974,238174000,18.61496217,0.714119447,497.9,99.58,27.56266723,26.62
DZA,1975,238174000,18.37018314,0.706978253,845.2,169.04,27.84107801,27.54
DZA,1976,238174000,18.48270592,0.69990847,690.5,138.1,25.05697021,28.88
DZA,1977,238174000,18.40335217,0.692909386,410.9,82.18,25.31007092,30.05
DZA,1978,238174000,18.40797064,0.685980292,586.1,117.22,28.12230102,30.36
DZA,1979,238174000,18.39831384,0.679120489,561.5,112.3,25.31007092,31.75
DZA,1980,238174000,18.40251245,0.685980292,760.4,152.08,25.5657282,33.79
DZA,1981,238174000,16.44637954,0.692909386,646.2,129.24,28.40636466,34.98
DZA,1982,238174000,16.41950843,0.69990847,593.3,118.66,25.5657282,39.74
DZA,1983,238174000,16.49298412,0.706978253,579.5,115.9,25.82396788,42.39
DZA,1984,238174000,16.63069856,0.714119447,547.4,109.48,23.24157109,44.13
DZA,1985,238174000,16.3959962,0.721332775,912.5,182.5,23.47633443,46.53
DZA,1986,238174000,16.24358662,0.728618965,837.2,167.44,26.08481604,46.83
DZA,1987,238174000,16.28179398,0.721332775,759.9,151.98,23.47633443,51.85
DZA,1988,238174000,16.2977487,0.714119447,574.1,114.82,23.71346912,55.38
DZA,1989,238174000,16.27381662,0.706978253,760.4,152.08,26.34829903,58.31
DZA,1990,238174000,16.23854829,0.69990847,687.7,137.54,23.71346912,62.93
DZA,1991,238174000,16.21587579,0.696213672,1114.6,222.92,23.95299911,62.72
DZA,1992,238174000,16.31790204,0.692518925,943.3,188.66,23.83600044,66
DZA,1993,238174000,16.31664245,0.688824127,741.7,148.34,23.79100037,68.28
DZA,1994,238174000,16.6432944,0.68512938,749.4,149.88,23.72100067,69.79
DZA,1995,238174000,16.64707315,0.681434581,829.5,165.9,23.52899933,72.25
DZA,1996,238174000,16.64161495,0.677739783,1337.8,267.56,23.31999969,73
DZA,1997,238174000,16.66428745,0.674045036,779.8,155.96,23.12400055,71.78
DZA,1998,238174000,16.72138856,0.670350238,846.3,169.26,22.69499969,75.99
DZA,1999,238174000,16.68150176,0.666655491,1069.9,213.98,22.47200012,75.8
DZA,2000,238174000,16.80326148,0.662960693,883.3,176.66,22.20599937,87.1
DZA,2001,238174000,16.84020926,0.659349897,1106.9,221.38,21.71100044,85.1
DZA,2002,238174000,16.73356454,0.655739102,1058.6,211.72,21.7329998,88.14
DZA,2003,238174000,16.75485117,0.652128255,1470.3,294.06,21.71699905,90.29
DZA,2004,238174000,17.27518537,0.64851746,1344.1,268.82,20.05599976,96.17
DZA,2005,238174000,17.3028962,0.644906665,1500.8,300.16,18.43400002,99.7
DZA,2006,238174000,17.29030037,0.676984064,1503.7,300.74,17.02599907,104.12
DZA,2007,238174000,17.32011051,0.709061463,1253.5,250.7,15.58500004,104.23
DZA,2008,238174000,17.34404259,0.741138811,1034,206.8,14.30500031,104.86
DZA,2009,238174000,17.37385273,0.77321621,1653.9,330.78,13.01599979,110.34
DZA,2010,238174000,17.37133356,0.805293609,1474.3,294.86,11.85700035,117.33
DZA,2011,238174000,17.37721162,0.808484543,1643.3,328.66,10.77000046,127.34
DZA,2012,238174000,17.38149059,0.811675477,1677.6,335.52,10.69299984,135.31
DZA,2013,238174000,17.39553462,0.814866463,1813.1,362.62,10.61499977,141.95
DZA,2014,238174000,17.39526565,0.818057397,1369.2,273.84,10.5010004,144.88
DZA,2015,238174000,17.40592946,0.821248331,1400.2,280.04,10.34700012,149.14
DZA,2016,238174000,17.36553915,0.824439265,1020.4,204.08,10.25199986,147.06
DZA,2017,238174000,0,0,990.7,198.14,10.15999985,147.0598529
DZA,2018,238174000,0,0,0,0,10.02299976,147.0597059
DZA,2019,0,0,0,0,0,9.855999947,147.0595588
DZA,2020,0,0,0,0,0,9.708000183,147.0594118
ASM,1960,0,0,95.6070155,0,0,0,115.6419
ASM,1961,20000,15,95.61657716,0,0,0,116.81
ASM,1962,20000,15,95.62613977,0,0,0,102.09
ASM,1963,20000,15,95.63570334,0,0,0,129.64
ASM,1964,20000,15,95.64526787,0,0,0,159.72
ASM,1965,20000,15,95.65483335,0,0,0,195.67
ASM,1966,20000,15,95.66439979,0,0,0,194.66
ASM,1967,20000,15,95.67396719,0,0,0,125.47
ASM,1968,20000,15,95.68353554,0,0,0,108.97
ASM,1969,20000,15,95.69310485,0,0,0,94.99
ASM,1970,20000,15,95.70267512,0,0,0,93.33
ASM,1971,20000,15,95.71224635,0,0,0,85.04
ASM,1972,20000,15,95.72181853,0,0,0,86.67
ASM,1973,20000,15,94.76460034,0,0,0,86.56
ASM,1974,20000,15,93.81695434,0,0,0,93.87
ASM,1975,20000,15,92.8787848,0,0,0,93.53
ASM,1976,20000,15,91.94999695,0,0,0,105.9
ASM,1977,20000,15,91.03049698,0,0,0,106.99
ASM,1978,20000,15,90.12019201,0,0,0,98.13
ASM,1979,20000,15,89.21899009,0,0,0,99.41
ASM,1980,20000,15,90.12019201,0,0,0,116.67
ASM,1981,20000,15,91.03049698,0,0,0,97.42
ASM,1982,20000,15,91.94999695,0,0,0,95.37
ASM,1983,20000,15,92.8787848,0,0,0,95.2
ASM,1984,20000,15,93.81695434,0,0,0,95.54
ASM,1985,20000,15,94.76460034,0,0,0,95.88
ASM,1986,20000,15,95.72181853,0,0,0,96.76
ASM,1987,20000,15,94.76460034,0,0,0,96.96
ASM,1988,20000,15,93.81695434,0,0,0,96.98
ASM,1989,20000,15,92.8787848,0,0,0,97.73
ASM,1990,20000,15,91.94999695,0,0,0,97.93
ASM,1991,20000,15,91.75000191,0,0,0,98.79
ASM,1992,20000,16.00000024,91.59999847,0,0,0,98.99
ASM,1993,20000,16.00000024,91.45000458,0,0,0,99.82
ASM,1994,20000,16.00000024,91.25,0,0,0,99.7
ASM,1995,20000,17.5,91.09999657,0,0,0,99.7
ASM,1996,20000,20,90.95000267,0,0,0,99.7
ASM,1997,20000,20,90.74999809,0,0,0,99.7
ASM,1998,20000,23.49999905,90.6000042,0,0,0,100.33
ASM,1999,20000,23.94999981,90.39999962,0,0,0,100.34
ASM,2000,20000,24.00000095,90.24999619,0,0,0,100.35
ASM,2001,20000,22.5,90.10000229,0,0,0,100.36
ASM,2002,20000,22.5,89.89999771,0,0,0,100.37
ASM,2003,20000,25.19999981,89.75000381,0,0,0,100.07
ASM,2004,20000,25,89.54999924,0,0,0,99.85
ASM,2005,20000,25,89.3999958,0,0,0,99.85
ASM,2006,20000,25,89.25000191,0,0,0,100.3
ASM,2007,20000,24.00000095,89.04999733,0,0,0,101.44
ASM,2008,20000,24.00000095,88.90000343,0,0,0,100.38
ASM,2009,20000,24.50000048,88.75,0,0,0,100.98
ASM,2010,20000,24.50000048,88.54999542,0,0,0,101.87
ASM,2011,20000,24.50000048,88.40000153,0,0,0,100.41
ASM,2012,20000,24.50000048,88.19999695,0,0,0,100.42
ASM,2013,20000,24.50000048,88.05000305,0,0,0,100.43
ASM,2014,20000,24.50000048,87.89999962,0,0,0,100.44
ASM,2015,20000,24.50000048,87.70000458,0,0,0,100.45
ASM,2016,20000,24.50000048,87.5,0,0,0,100.46
ASM,2017,20000,0,0,0,0,0,100.4598995
ASM,2018,20000,0,0,0,0,0,100.4597991
ASM,2019,0,0,0,0,0,0,100.4596986
ASM,2020,0,0,0,0,0,0,100.4595982
AND,1960,0,0,35.39648742,0,0,0,0
AND,1961,47000,55.31914894,35.40002743,0,0,0,0
AND,1962,47000,55.31914894,35.40356778,0,0,0,0
AND,1963,47000,55.31914894,35.4071085,0,0,0,0
AND,1964,47000,55.31914894,35.41064956,0,0,0,0
AND,1965,47000,55.31914894,35.41419098,0,0,0,0
AND,1966,47000,55.31914894,35.41773275,0,0,0,0
AND,1967,47000,55.31914894,35.42127488,0,0,0,0
AND,1968,47000,55.31914894,35.42481736,0,0,0,0
AND,1969,47000,55.31914894,35.4283602,0,0,0,0
AND,1970,47000,55.31914894,35.43190339,0,0,0,0
AND,1971,47000,53.19148936,35.43544693,0,0,0,0
AND,1972,47000,53.19148936,35.43899083,0,0,0,0
AND,1973,47000,51.06382979,35.08460092,0,0,0,0
AND,1974,47000,51.06382979,34.73375491,0,0,0,0
AND,1975,47000,51.06382979,34.38641737,0,0,0,0
AND,1976,47000,48.93617021,34.04255319,0,0,0,0
AND,1977,47000,48.93617021,33.70212766,0,0,0,0
AND,1978,47000,48.93617021,33.36510638,0,0,0,0
AND,1979,47000,48.93617021,33.03145532,0,0,0,0
AND,1980,47000,48.93617021,33.36510638,0,0,0,0
AND,1981,47000,48.93617021,33.70212766,0,0,0,0
AND,1982,47000,48.93617021,34.04255319,0,0,0,0
AND,1983,47000,48.93617021,34.38641737,0,0,0,0
AND,1984,47000,48.93617021,34.73375491,0,0,0,0
AND,1985,47000,48.93617021,35.08460092,0,0,0,0
AND,1986,47000,48.93617021,35.43899083,0,0,0,0
AND,1987,47000,48.93617021,35.08460092,0,0,0,0
AND,1988,47000,48.93617021,34.73375491,0,0,0,0
AND,1989,47000,48.93617021,34.38641737,0,0,0,0
AND,1990,47000,48.93617021,34.04255319,0,0,0,0
AND,1991,47000,48.93617021,34.04255319,0,0,0,0
AND,1992,47000,48.93617021,34.04255319,0,0,0,0
AND,1993,47000,48.93617021,34.04255319,0,0,0,0
AND,1994,47000,48.93617021,34.04255319,0,0,0,0
AND,1995,47000,48.93617021,34.04255319,0,0,0,0
AND,1996,47000,48.93617021,34.04255319,0,0,0,0
AND,1997,47000,48.93617021,34.04255319,0,0,0,0
AND,1998,47000,48.93617021,34.04255319,0,0,0,0
AND,1999,47000,48.93617021,34.04255319,0,0,0,0
AND,2000,47000,48.93617021,34.04255319,0,0,0,0
AND,2001,47000,48.40425532,34.04255319,0,0,0,0
AND,2002,47000,48.61702209,34.04255319,0,0,0,0
AND,2003,47000,48.63829917,34.04255319,0,0,0,0
AND,2004,47000,48.53191376,34.04255319,0,0,0,0
AND,2005,47000,46.3829771,34.04255319,0,0,0,0
AND,2006,47000,46.34042699,34.04255319,0,0,0,0
AND,2007,47000,44.19149034,34.04255319,0,0,0,0
AND,2008,47000,44.17021325,34.04255319,0,0,0,0
AND,2009,47000,44.19149034,34.04255319,0,0,0,0
AND,2010,47000,42.06383076,34.04255319,0,0,0,0
AND,2011,47000,42.06383076,34.04255319,0,0,0,0
AND,2012,47000,39.9148941,34.04255319,0,0,0,0
AND,2013,47000,40.02127546,34.04255319,0,0,0,0
AND,2014,47000,40.02127546,34.04255319,0,0,0,0
AND,2015,47000,40.02127546,34.04255319,0,0,0,0
AND,2016,47000,39.95744827,34.04255319,0,0,0,0
AND,2017,47000,0,0,0,0,0,0
AND,2018,47000,0,0,0,0,0,0
AND,2019,0,0,0,0,0,0,0
AND,2020,0,0,0,0,0,0,0
AGO,1960,0,0,50.85515872,0,0,48.18456449,36.7488
AGO,1961,124670000,45.85706265,50.86024475,828,165.6,48.67127726,37.12
AGO,1962,124670000,45.88112617,50.86533128,830.3,166.06,54.07919696,38.13
AGO,1963,124670000,45.89716852,50.87041832,798.4,159.68,48.67127726,39
AGO,1964,124670000,45.92123205,50.87550587,875.8,175.16,49.16290633,41.33
AGO,1965,124670000,45.9372744,50.88059393,932,186.4,54.62545148,42.98
AGO,1966,124670000,45.96133793,50.8856825,824.3,164.86,49.16290633,44.05
AGO,1967,124670000,45.98540146,50.89077158,814.6,162.92,49.65950134,45.06
AGO,1968,124670000,46.00946499,50.89586116,805.7,161.14,44.69355121,44.91
AGO,1969,124670000,46.04154969,50.90095126,898.9,179.78,45.14500122,46.85
AGO,1970,124670000,46.04154969,50.90604186,911.3,182.26,50.16111247,50.01
AGO,1971,124670000,46.04154969,50.91113298,805.7,161.14,45.14500122,50.82
AGO,1972,124670000,46.04154969,50.9162246,780.3,156.06,45.60101133,50.25
AGO,1973,124670000,46.04154969,50.40706235,764,152.8,50.66779037,51.91
AGO,1974,124670000,46.04154969,49.90299173,712.6,142.52,45.60101133,52.73
AGO,1975,124670000,46.04154969,49.40396181,773.9,154.78,46.06162761,57.4
AGO,1976,124670000,46.04154969,48.90992219,775.5,155.1,41.45546485,52.74
AGO,1977,124670000,46.04154969,48.42082297,603.1,120.62,41.87420692,53.72
AGO,1978,124670000,46.04154969,47.93661474,667.1,133.42,46.52689657,55.52
AGO,1979,124670000,46.04154969,47.4572486,509.2,101.84,41.87420692,57.01
AGO,1980,124670000,46.04154969,47.93661474,617.9,123.58,42.2971787,58.06
AGO,1981,124670000,46.04154969,48.42082297,451.1,90.22,46.99686523,59.21
AGO,1982,124670000,46.04154969,48.90992219,450.6,90.12,42.2971787,61.68
AGO,1983,124670000,46.04154969,49.40396181,484.6,96.92,42.72442293,62.62
AGO,1984,124670000,46.04154969,49.90299173,466,93.2,38.45198064,63.58
AGO,1985,124670000,46.04154969,50.40706235,449.1,89.82,38.84038449,65.26
AGO,1986,124670000,46.04154969,50.9162246,379.8,75.96,43.15598276,67.12
AGO,1987,124670000,46.04154969,50.40706235,381.2,76.24,38.84038449,67.11
AGO,1988,124670000,46.04154969,49.90299173,332.4,66.48,39.2327116,67.6
AGO,1989,124670000,46.04154969,49.40396181,277.4,55.48,43.59190178,68.11
AGO,1990,124670000,46.04475816,48.90992219,320.9,64.18,39.2327116,70.11
AGO,1991,124670000,46.08165557,48.80981729,417.5,83.5,39.62900162,70.58
AGO,1992,124670000,46.12176145,48.70971239,397.1,79.42,39.65999985,74.94
AGO,1993,124670000,46.12176145,48.60961062,268,53.6,39.90100098,76.47
AGO,1994,124670000,46.12176145,48.50950572,298.4,59.68,39.80099869,75.23
AGO,1995,124670000,46.12176145,48.40940082,401.5,80.3,39.27600098,71.18
AGO,1996,124670000,46.12176145,48.30929592,653.1,130.62,38.73300171,82.5
AGO,1997,124670000,46.12176145,48.20919101,567.4,113.48,38.25999832,87.12
AGO,1998,124670000,46.12176145,48.10908925,701.6,140.32,37.79999924,92.57
AGO,1999,124670000,46.04154969,48.00898434,620.4,124.08,37.77199936,93.01
AGO,2000,124670000,45.96133793,47.90887944,564.4,112.88,37.51499939,99.28
AGO,2001,124670000,45.96133793,47.80877454,585.4,117.08,37.12599945,100.65
AGO,2002,124670000,46.03352852,47.70866964,627.2,125.44,36.31600189,103.22
AGO,2003,124670000,46.19395203,47.60856787,646.1,129.22,36.28300095,103.93
AGO,2004,124670000,46.19395203,47.50846297,491.7,98.34,36.16600037,93.4
AGO,2005,124670000,46.19395203,47.40835807,583.4,116.68,38.17100143,102.5
AGO,2006,124670000,46.19395203,47.30825316,445.9,89.18,40.23300171,104.1
AGO,2007,124670000,46.27416379,47.20814826,464.3,92.86,42.24499893,109.65
AGO,2008,124670000,46.27416379,47.10804649,652.7,130.54,44.41999817,114.56
AGO,2009,124670000,46.75543435,47.00794159,571.4,114.28,46.50799942,116.54
AGO,2010,124670000,46.83564611,46.90783669,629.3,125.86,48.89899826,123.19
AGO,2011,124670000,47.31691666,46.80773179,662.4,132.48,51.2179985,126.28
AGO,2012,124670000,47.31691666,46.70762688,552,110.4,51.13999939,130.47
AGO,2013,124670000,47.47734018,46.60752512,814.4,162.88,50.99499893,137.03
AGO,2014,124670000,47.47734018,46.50742021,888.3,177.66,50.76800156,137.33
AGO,2015,124670000,47.47734018,46.40731531,982,196.4,50.60300064,139.12
AGO,2016,124670000,47.47734018,46.30721041,934.1,186.82,50.62200165,139.14
AGO,2017,124670000,0,0,904.5,180.9,50.55799866,139.1398609
AGO,2018,124670000,0,0,0,0,50.51800156,139.1397217
AGO,2019,0,0,0,0,0,50.38000107,139.1395826
AGO,2020,0,0,0,0,0,50.18099976,139.1394434
ATG,1960,0,0,24.34011347,0,0,0,34.5906
ATG,1961,44000,22.72727273,24.34254772,0,0,0,34.94
ATG,1962,44000,20.45454545,24.34498222,0,0,0,26.72
ATG,1963,44000,22.72727273,24.34741696,0,0,0,32.38
ATG,1964,44000,20.45454545,24.34985195,0,0,0,38.69
ATG,1965,44000,25,24.35228717,0,0,0,36.63
ATG,1966,44000,25,24.35472265,2500,500,0,37.02
ATG,1967,44000,22.72727273,24.35715836,2250,450,0,34.04
ATG,1968,44000,22.72727273,24.35959432,2500,500,0,34.71
ATG,1969,44000,25,24.36203052,2250,450,0,37.35
ATG,1970,44000,25,24.36446697,2400,480,0,37.77
ATG,1971,44000,25,24.36690366,2285.7,457.14,0,47.76
ATG,1972,44000,15.90909091,24.3693406,2300,460,0,46.37
ATG,1973,44000,15.90909091,24.12564719,2000,400,0,44.66
ATG,1974,44000,15.90909091,23.88439072,2055.6,411.12,0,43.54
ATG,1975,44000,15.90909091,23.64554681,1875,375,0,37.85
