LOCATION,TIME,"Death rate, crude (per 1,000 people)"
AGO,1969,24.418
AGO,1970,23.872
AGO,1971,23.312
AGO,1972,22.777
AGO,1973,22.296
AGO,1974,21.885
AGO,1975,21.548
AGO,1976,21.276
AGO,1977,21.047
AGO,1978,20.839
AGO,1979,20.647
AGO,1980,20.467
AGO,1981,20.298
AGO,1982,20.145
AGO,1983,20.009
AGO,1984,19.889
AGO,1985,19.789
AGO,1986,19.71
AGO,1987,19.651
AGO,1988,19.61
AGO,1989,19.579
AGO,1990,19.555
AGO,1991,19.533
AGO,1992,19.506
AGO,1993,19.464
AGO,1994,19.396
AGO,1995,19.292
AGO,1996,19.146
AGO,1997,18.952
AGO,1998,18.706
AGO,1999,18.404
AGO,2000,18.036
AGO,2001,17.597
AGO,2002,17.09
AGO,2003,16.522
AGO,2004,15.903
AGO,2005,15.24
AGO,2006,14.539
AGO,2007,13.815
AGO,2008,13.085
AGO,2009,12.367
AGO,2010,11.68
AGO,2011,11.039
AGO,2012,10.451
AGO,2013,9.921
AGO,2014,9.454
AGO,2015,9.052
AGO,2016,8.716
AGO,2017,8.432
AGO,2018,8.19
AGO,2019,0
AGO,2020,0
ATG,1960,9.643
ATG,1961,9.356
ATG,1962,9.068
ATG,1963,8.78
ATG,1964,8.497
ATG,1965,8.226
ATG,1966,7.978
ATG,1967,7.761
ATG,1968,7.581
ATG,1969,7.438
ATG,1970,7.326
ATG,1971,7.238
ATG,1972,7.162
ATG,1973,7.091
ATG,1974,7.02
ATG,1975,6.948
ATG,1976,6.878
ATG,1977,6.814
ATG,1978,6.762
ATG,1979,6.722
ATG,1980,6.695
ATG,1981,6.681
ATG,1982,6.679
ATG,1983,6.687
ATG,1984,6.703
ATG,1985,6.729
ATG,1986,6.768
ATG,1987,6.818
ATG,1988,6.874
ATG,1989,6.932
ATG,1990,6.98
ATG,1991,7.008
ATG,1992,7.009
ATG,1993,6.979
ATG,1994,6.918
ATG,1995,6.827
ATG,1996,6.712
ATG,1997,6.584
ATG,1998,6.453
ATG,1999,6.328
ATG,2000,6.216
ATG,2001,6.124
ATG,2002,6.051
ATG,2003,5.999
ATG,2004,5.967
ATG,2005,5.955
ATG,2006,5.96
ATG,2007,5.976
ATG,2008,5.999
ATG,2009,6.026
ATG,2010,6.055
ATG,2011,6.085
ATG,2012,6.116
ATG,2013,6.151
ATG,2014,6.188
ATG,2015,6.227
ATG,2016,6.27
