LOCATION,TIME,"Population, total","Immunization, DPT (% of children ages 12-23 months)"
AFG,1960,8996973,0
AFG,1961,9169410,0
AFG,1962,9351441,0
AFG,1963,9543205,0
AFG,1964,9744781,0
AFG,1965,9956320,0
AFG,1966,10174836,0
AFG,1967,10399926,0
AFG,1968,10637063,0
AFG,1969,10893776,0
AFG,1970,11173642,0
AFG,1971,11475445,0
AFG,1972,11791215,0
AFG,1973,12108963,0
AFG,1974,12412950,0
AFG,1975,12689160,0
AFG,1976,12943093,0
AFG,1977,13171306,0
AFG,1978,13341198,0
AFG,1979,13411056,0
AFG,1980,13356511,4
AFG,1981,13171673,3
AFG,1982,12882528,5
AFG,1983,12537730,5
AFG,1984,12204292,16
AFG,1985,11938208,15
AFG,1986,11736179,11
AFG,1987,11604534,25
AFG,1988,11618005,35
AFG,1989,11868877,33
AFG,1990,12412308,25
AFG,1991,13299017,23
AFG,1992,14485546,21
AFG,1993,15816603,18
AFG,1994,17075727,12
AFG,1995,18110657,20
AFG,1996,18853437,31
AFG,1997,19357126,28
AFG,1998,19737765,27
AFG,1999,20170844,27
AFG,2000,20779953,24
AFG,2001,21606988,33
AFG,2002,22600770,36
AFG,2003,23680871,41
AFG,2004,24726684,50
AFG,2005,25654277,58
AFG,2006,26433049,58
AFG,2007,27100536,63
AFG,2008,27722276,64
AFG,2009,28394813,63
AFG,2010,29185507,66
AFG,2011,30117413,68
AFG,2012,31161376,67
AFG,2013,32269589,64
AFG,2014,33370794,62
AFG,2015,34413603,65
AFG,2016,35383128,66
AFG,2017,36296400,66
AFG,2018,37172386,66
AFG,2019,38041754,66
AFG,2020,0,0
ALB,1960,1608800,0
ALB,1961,1659800,0
ALB,1962,1711319,0
ALB,1963,1762621,0
ALB,1964,1814135,0
ALB,1965,1864791,0
ALB,1966,1914573,0
ALB,1967,1965598,0
ALB,1968,2022272,0
ALB,1969,2081695,0
ALB,1970,2135479,0
ALB,1971,2187853,0
ALB,1972,2243126,0
ALB,1973,2296752,0
ALB,1974,2350124,0
ALB,1975,2404831,0
ALB,1976,2458526,0
ALB,1977,2513546,0
ALB,1978,2566266,0
ALB,1979,2617832,0
ALB,1980,2671997,94
ALB,1981,2726056,94
ALB,1982,2784278,95
ALB,1983,2843960,95
ALB,1984,2904429,95
ALB,1985,2964762,96
ALB,1986,3022635,96
ALB,1987,3083605,96
ALB,1988,3142336,96
ALB,1989,3227943,94
ALB,1990,3286542,94
ALB,1991,3266790,78
ALB,1992,3247039,94
ALB,1993,3227287,96
ALB,1994,3207536,99
ALB,1995,3187784,97
ALB,1996,3168033,98
ALB,1997,3148281,99
ALB,1998,3128530,96
ALB,1999,3108778,97
ALB,2000,3089027,97
ALB,2001,3060173,97
ALB,2002,3051010,98
ALB,2003,3039616,97
ALB,2004,3026939,97
ALB,2005,3011487,98
ALB,2006,2992547,97
ALB,2007,2970017,98
ALB,2008,2947314,99
ALB,2009,2927519,98
ALB,2010,2913021,99
ALB,2011,2905195,99
ALB,2012,2900401,99
ALB,2013,2895092,99
ALB,2014,2889104,98
ALB,2015,2880703,99
ALB,2016,2876101,98
ALB,2017,2873457,99
ALB,2018,2866376,99
ALB,2019,2854191,99
ALB,2020,0,0
DZA,1960,11057863,0
DZA,1961,11336339,0
DZA,1962,11619828,0
DZA,1963,11912803,0
DZA,1964,12221675,0
DZA,1965,12550885,0
DZA,1966,12902627,0
DZA,1967,13275026,0
DZA,1968,13663583,0
DZA,1969,14061722,0
DZA,1970,14464985,0
DZA,1971,14872250,0
DZA,1972,15285990,0
DZA,1973,15709825,0
DZA,1974,16149025,0
DZA,1975,16607707,0
DZA,1976,17085801,0
DZA,1977,17582904,0
DZA,1978,18102266,0
DZA,1979,18647815,0
DZA,1980,19221665,0
DZA,1981,19824301,0
DZA,1982,20452902,0
DZA,1983,21101875,0
DZA,1984,21763575,0
DZA,1985,22431502,69
DZA,1986,23102389,73
DZA,1987,23774284,79
DZA,1988,24443467,85
DZA,1989,25106190,87
DZA,1990,25758869,89
DZA,1991,26400479,89
DZA,1992,27028326,88
DZA,1993,27635515,88
DZA,1994,28213774,87
DZA,1995,28757785,88
DZA,1996,29266405,88
DZA,1997,29742979,89
DZA,1998,30192754,85
DZA,1999,30623406,83
DZA,2000,31042235,86
DZA,2001,31451514,89
DZA,2002,31855109,86
DZA,2003,32264157,87
DZA,2004,32692163,86
DZA,2005,33149724,88
DZA,2006,33641002,95
DZA,2007,34166972,95
DZA,2008,34730608,93
DZA,2009,35333881,95
DZA,2010,35977455,95
DZA,2011,36661444,95
DZA,2012,37383887,95
DZA,2013,38140132,95
DZA,2014,38923687,95
DZA,2015,39728025,95
DZA,2016,40551404,91
DZA,2017,41389198,91
DZA,2018,42228429,91
DZA,2019,43053054,91
DZA,2020,0,0
ASM,1960,20123,0
ASM,1961,20602,0
ASM,1962,21253,0
ASM,1963,22034,0
ASM,1964,22854,0
ASM,1965,23672,0
ASM,1966,24462,0
ASM,1967,25248,0
ASM,1968,25989,0
ASM,1969,26703,0
ASM,1970,27363,0
ASM,1971,27984,0
ASM,1972,28567,0
ASM,1973,29100,0
ASM,1974,29596,0
ASM,1975,30052,0
ASM,1976,30456,0
ASM,1977,30838,0
ASM,1978,31269,0
ASM,1979,31845,0
ASM,1980,32646,0
ASM,1981,33701,0
ASM,1982,34968,0
ASM,1983,36412,0
ASM,1984,37946,0
ASM,1985,39519,0
ASM,1986,41119,0
ASM,1987,42740,0
ASM,1988,44343,0
ASM,1989,45894,0
ASM,1990,47347,0
ASM,1991,48685,0
ASM,1992,49896,0
ASM,1993,51020,0
ASM,1994,52095,0
ASM,1995,53161,0
ASM,1996,54211,0
ASM,1997,55221,0
ASM,1998,56171,0
ASM,1999,57053,0
ASM,2000,57821,0
ASM,2001,58494,0
ASM,2002,59080,0
ASM,2003,59504,0
ASM,2004,59681,0
ASM,2005,59562,0
ASM,2006,59107,0
ASM,2007,58365,0
ASM,2008,57492,0
ASM,2009,56683,0
ASM,2010,56079,0
ASM,2011,55759,0
ASM,2012,55667,0
ASM,2013,55713,0
ASM,2014,55791,0
ASM,2015,55812,0
ASM,2016,55741,0
ASM,2017,55620,0
ASM,2018,55465,0
ASM,2019,55312,0
ASM,2020,0,0
AND,1960,13411,0
AND,1961,14375,0
AND,1962,15370,0
AND,1963,16412,0
AND,1964,17469,0
AND,1965,18549,0
AND,1966,19647,0
AND,1967,20758,0
AND,1968,21890,0
AND,1969,23058,0
AND,1970,24276,0
AND,1971,25559,0
AND,1972,26892,0
AND,1973,28232,0
AND,1974,29520,0
AND,1975,30705,0
AND,1976,31777,0
AND,1977,32771,0
AND,1978,33737,0
AND,1979,34818,0
AND,1980,36067,0
AND,1981,37500,0
AND,1982,39114,0
AND,1983,40867,0
AND,1984,42706,0
AND,1985,44600,0
AND,1986,46517,0
AND,1987,48455,0
AND,1988,50434,0
AND,1989,52448,0
AND,1990,54509,0
AND,1991,56671,0
AND,1992,58888,0
AND,1993,60971,0
AND,1994,62677,0
AND,1995,63850,0
AND,1996,64360,0
AND,1997,64327,90
AND,1998,64142,89
AND,1999,64370,90
AND,2000,65390,98
AND,2001,67341,96
AND,2002,70049,97
AND,2003,73182,99
AND,2004,76244,99
AND,2005,78867,98
AND,2006,80993,93
AND,2007,82684,96
AND,2008,83862,99
AND,2009,84463,99
AND,2010,84449,99
AND,2011,83747,99
AND,2012,82427,99
AND,2013,80774,96
AND,2014,79213,97
AND,2015,78011,97
AND,2016,77297,98
AND,2017,77001,99
AND,2018,77006,99
AND,2019,77142,99
AND,2020,0,0
AGO,1960,5454933,0
AGO,1961,5531472,0
AGO,1962,5608539,0
AGO,1963,5679458,0
AGO,1964,5735044,0
AGO,1965,5770570,0
AGO,1966,5781214,0
AGO,1967,5774243,0
AGO,1968,5771652,0
AGO,1969,5803254,0
AGO,1970,5890365,0
AGO,1971,6040777,0
AGO,1972,6248552,0
AGO,1973,6496962,0
AGO,1974,6761380,0
AGO,1975,7024000,0
AGO,1976,7279509,0
AGO,1977,7533735,0
AGO,1978,7790707,0
AGO,1979,8058067,0
AGO,1980,8341289,0
AGO,1981,8640446,0
AGO,1982,8952950,0
AGO,1983,9278096,6
AGO,1984,9614754,8
AGO,1985,9961997,8
AGO,1986,10320111,10
AGO,1987,10689250,10
AGO,1988,11068050,12
AGO,1989,11454777,18
AGO,1990,11848386,24
AGO,1991,12248901,26
AGO,1992,12657366,21
AGO,1993,13075049,30
AGO,1994,13503747,27
AGO,1995,13945206,24
AGO,1996,14400719,28
AGO,1997,14871570,41
AGO,1998,15359601,47
AGO,1999,15866869,21
AGO,2000,16395473,31
AGO,2001,16945753,42
AGO,2002,17519417,47
AGO,2003,18121479,46
AGO,2004,18758145,47
AGO,2005,19433602,47
AGO,2006,20149901,44
AGO,2007,20905363,48
AGO,2008,21695634,49
AGO,2009,22514281,50
AGO,2010,23356246,51
AGO,2011,24220661,52
AGO,2012,25107931,53
AGO,2013,26015780,54
AGO,2014,26941779,55
AGO,2015,27884381,59
AGO,2016,28842484,59
AGO,2017,29816748,56
AGO,2018,30809762,63
AGO,2019,31825295,57
AGO,2020,0,0
ATG,1960,54131,0
ATG,1961,55001,0
ATG,1962,55841,0
ATG,1963,56702,0
ATG,1964,57641,0
ATG,1965,58698,0
ATG,1966,59915,0
ATG,1967,61241,0
ATG,1968,62521,0
ATG,1969,63550,0
ATG,1970,64177,0
ATG,1971,64357,0
ATG,1972,64133,0
ATG,1973,63650,0
ATG,1974,63120,0
ATG,1975,62675,0
ATG,1976,62367,0
ATG,1977,62159,0
ATG,1978,62036,0
ATG,1979,61952,0
ATG,1980,61865,54
ATG,1981,61800,79
ATG,1982,61779,79
ATG,1983,61787,99
ATG,1984,61786,94
ATG,1985,61786,99
ATG,1986,61754,96
ATG,1987,61717,97
ATG,1988,61771,98
ATG,1989,62008,99
ATG,1990,62528,99
ATG,1991,63367,94
ATG,1992,64471,99
ATG,1993,65777,99
ATG,1994,67204,99
ATG,1995,68670,99
ATG,1996,70173,99
ATG,1997,71704,99
ATG,1998,73224,99
ATG,1999,74674,99
ATG,2000,76016,95
ATG,2001,77212,97
ATG,2002,78295,98
ATG,2003,79300,99
ATG,2004,80336,97
ATG,2005,81465,99
ATG,2006,82704,99
ATG,2007,84026,99
ATG,2008,85397,99
ATG,2009,86746,99
ATG,2010,88028,98
ATG,2011,89253,99
ATG,2012,90409,98
ATG,2013,91516,99
ATG,2014,92562,99
ATG,2015,93566,99
ATG,2016,94527,92
ATG,2017,95426,95
ATG,2018,96286,95
ATG,2019,97118,95
ATG,2020,0,0
ARG,1960,20481779,0
ARG,1961,20817266,0
ARG,1962,21153052,0
ARG,1963,21488912,0
ARG,1964,21824425,0
ARG,1965,22159650,0
ARG,1966,22494035,0
ARG,1967,22828869,0
ARG,1968,23168267,0
ARG,1969,23517611,0
ARG,1970,23880561,0
ARG,1971,24259561,0
ARG,1972,24653175,0
ARG,1973,25056478,0
ARG,1974,25462302,0
ARG,1975,25865776,0
ARG,1976,26264681,0
ARG,1977,26661398,0
ARG,1978,27061047,0
ARG,1979,27471036,0
ARG,1980,27896528,44
ARG,1981,28338515,49
ARG,1982,28794548,58
ARG,1983,29262047,61
ARG,1984,29737093,62
ARG,1985,30216279,66
ARG,1986,30698964,67
ARG,1987,31184415,75
ARG,1988,31668949,80
ARG,1989,32148134,80
ARG,1990,32618651,87
ARG,1991,33079000,80
ARG,1992,33529326,81
ARG,1993,33970111,81
ARG,1994,34402672,82
ARG,1995,34828170,85
ARG,1996,35246374,83
ARG,1997,35657429,88
ARG,1998,36063459,84
ARG,1999,36467218,86
ARG,2000,36870787,83
ARG,2001,37275652,83
ARG,2002,37681749,93
ARG,2003,38087868,96
ARG,2004,38491972,98
ARG,2005,38892931,98
ARG,2006,39289878,91
ARG,2007,39684295,91
ARG,2008,40080160,93
ARG,2009,40482788,94
ARG,2010,40788453,94
ARG,2011,41261490,91
ARG,2012,41733271,91
ARG,2013,42202935,94
ARG,2014,42669500,94
ARG,2015,43131966,94
ARG,2016,43590368,92
ARG,2017,44044811,86
ARG,2018,44494502,86
ARG,2019,44938712,86
ARG,2020,0,0
ARM,1960,1874121,0
ARM,1961,1941492,0
ARM,1962,2009526,0
ARM,1963,2077578,0
ARM,1964,2145001,0
ARM,1965,2211319,0
ARM,1966,2276034,0
ARM,1967,2339127,0
ARM,1968,2401143,0
ARM,1969,2462928,0
ARM,1970,2525068,0
ARM,1971,2587708,0
ARM,1972,2650486,0
ARM,1973,2712786,0
ARM,1974,2773748,0
ARM,1975,2832759,0
ARM,1976,2889579,0
ARM,1977,2944383,0
ARM,1978,2997417,0
ARM,1979,3049109,0
ARM,1980,3099754,0
ARM,1981,3148096,0
ARM,1982,3193689,0
ARM,1983,3238595,0
ARM,1984,3285599,0
ARM,1985,3335940,0
ARM,1986,3392264,0
ARM,1987,3451947,0
ARM,1988,3504659,0
ARM,1989,3536474,0
ARM,1990,3538171,0
ARM,1991,3505258,0
ARM,1992,3442817,85
ARM,1993,3363108,85
ARM,1994,3283667,86
ARM,1995,3217348,98
ARM,1996,3168221,86
ARM,1997,3133089,88
ARM,1998,3108687,82
ARM,1999,3089022,91
ARM,2000,3069591,93
ARM,2001,3050687,94
ARM,2002,3033978,94
ARM,2003,3017932,94
ARM,2004,3000720,91
ARM,2005,2981269,90
ARM,2006,2958307,87
ARM,2007,2932618,88
ARM,2008,2907618,89
ARM,2009,2888092,93
ARM,2010,2877319,94
ARM,2011,2876538,95
ARM,2012,2884229,95
ARM,2013,2897584,95
ARM,2014,2912403,93
ARM,2015,2925553,94
ARM,2016,2936146,94
ARM,2017,2944809,94
ARM,2018,2951776,92
ARM,2019,2957731,92
ARM,2020,0,0
ABW,1960,54211,0
ABW,1961,55438,0
ABW,1962,56225,0
ABW,1963,56695,0
ABW,1964,57032,0
ABW,1965,57360,0
ABW,1966,57715,0
ABW,1967,58055,0
ABW,1968,58386,0
ABW,1969,58726,0
ABW,1970,59063,0
ABW,1971,59440,0
ABW,1972,59840,0
ABW,1973,60243,0
ABW,1974,60528,0
ABW,1975,60657,0
ABW,1976,60586,0
ABW,1977,60366,0
ABW,1978,60103,0
ABW,1979,59980,0
ABW,1980,60096,0
ABW,1981,60567,0
ABW,1982,61345,0
ABW,1983,62201,0
ABW,1984,62836,0
ABW,1985,63026,0
ABW,1986,62644,0
ABW,1987,61833,0
ABW,1988,61079,0
ABW,1989,61032,0
ABW,1990,62149,0
ABW,1991,64622,0
ABW,1992,68235,0
ABW,1993,72504,0
ABW,1994,76700,0
ABW,1995,80324,0
ABW,1996,83200,0
ABW,1997,85451,0
ABW,1998,87277,0
ABW,1999,89005,0
ABW,2000,90853,0
ABW,2001,92898,0
ABW,2002,94992,0
ABW,2003,97017,0
ABW,2004,98737,0
ABW,2005,100031,0
ABW,2006,100834,0
ABW,2007,101222,0
ABW,2008,101358,0
ABW,2009,101455,0
ABW,2010,101669,0
ABW,2011,102046,0
ABW,2012,102560,0
ABW,2013,103159,0
ABW,2014,103774,0
ABW,2015,104341,0
ABW,2016,104872,0
ABW,2017,105366,0
ABW,2018,105845,0
ABW,2019,106314,0
ABW,2020,0,0
AUS,1960,10276477,0
AUS,1961,10483000,0
AUS,1962,10742000,0
AUS,1963,10950000,0
AUS,1964,11167000,0
AUS,1965,11388000,0
AUS,1966,11651000,0
AUS,1967,11799000,0
AUS,1968,12009000,0
AUS,1969,12263000,0
AUS,1970,12507000,0
AUS,1971,12937000,0
AUS,1972,13177000,0
AUS,1973,13380000,0
AUS,1974,13723000,0
AUS,1975,13893000,0
AUS,1976,14033000,0
AUS,1977,14192000,0
AUS,1978,14358000,0
AUS,1979,14514000,0
AUS,1980,14692000,33
AUS,1981,14927000,40
AUS,1982,15178000,48
AUS,1983,15369000,55
AUS,1984,15544000,62
AUS,1985,15758000,68
AUS,1986,16018400,75
AUS,1987,16263900,81
AUS,1988,16532200,88
AUS,1989,16814400,93
AUS,1990,17065100,95
AUS,1991,17284000,93
AUS,1992,17495000,91
AUS,1993,17667000,90
AUS,1994,17855000,88
AUS,1995,18072000,86
AUS,1996,18311000,86
AUS,1997,18517000,77
AUS,1998,18711000,82
AUS,1999,18926000,88
AUS,2000,19153000,90
AUS,2001,19413000,92
AUS,2002,19651400,92
AUS,2003,19895400,93
AUS,2004,20127400,92
AUS,2005,20394800,92
AUS,2006,20697900,92
AUS,2007,20827600,92
AUS,2008,21249200,92
AUS,2009,21691700,92
AUS,2010,22031750,92
AUS,2011,22340024,92
AUS,2012,22733465,92
AUS,2013,23128129,91
AUS,2014,23475686,92
AUS,2015,23815995,93
AUS,2016,24190907,94
AUS,2017,24601860,95
AUS,2018,24982688,95
AUS,2019,25364307,95
AUS,2020,0,0
AUT,1960,7047539,0
AUT,1961,7086299,0
AUT,1962,7129864,0
AUT,1963,7175811,0
AUT,1964,7223801,0
AUT,1965,7270889,0
AUT,1966,7322066,0
AUT,1967,7376998,0
AUT,1968,7415403,0
AUT,1969,7441055,0
AUT,1970,7467086,0
AUT,1971,7500482,0
AUT,1972,7544201,0
AUT,1973,7586115,0
AUT,1974,7599038,0
AUT,1975,7578903,0
AUT,1976,7565525,0
AUT,1977,7568430,0
AUT,1978,7562305,0
AUT,1979,7549425,0
AUT,1980,7549433,90
AUT,1981,7568710,90
AUT,1982,7574140,90
AUT,1983,7561910,90
AUT,1984,7561434,90
AUT,1985,7564985,90
AUT,1986,7569794,90
AUT,1987,7574586,90
AUT,1988,7585317,90
AUT,1989,7619567,90
AUT,1990,7677850,90
AUT,1991,7754891,90
AUT,1992,7840709,90
AUT,1993,7905633,90
AUT,1994,7936118,90
AUT,1995,7948278,90
AUT,1996,7959017,90
AUT,1997,7968041,90
AUT,1998,7976789,82
AUT,1999,7992324,74
AUT,2000,8011566,81
AUT,2001,8042293,84
AUT,2002,8081957,83
AUT,2003,8121423,84
AUT,2004,8171966,83
AUT,2005,8227829,86
AUT,2006,8268641,83
AUT,2007,8295487,85
AUT,2008,8321496,83
AUT,2009,8343323,83
AUT,2010,8363404,86
AUT,2011,8391643,89
AUT,2012,8429991,92
AUT,2013,8479823,95
AUT,2014,8546356,98
AUT,2015,8642699,93
AUT,2016,8736668,87
AUT,2017,8797566,90
AUT,2018,8840521,85
AUT,2019,8877067,85
AUT,2020,0,0
AZE,1960,3895397,0
AZE,1961,4030322,0
AZE,1962,4171426,0
AZE,1963,4315127,0
AZE,1964,4456687,0
AZE,1965,4592609,0
AZE,1966,4721523,0
AZE,1967,4843868,0
AZE,1968,4960232,0
AZE,1969,5071927,0
AZE,1970,5180023,0
AZE,1971,5284531,0
AZE,1972,5385263,0
AZE,1973,5483082,0
AZE,1974,5579072,0
AZE,1975,5674133,0
AZE,1976,5768721,0
AZE,1977,5863132,0
AZE,1978,5957925,0
AZE,1979,6053640,0
AZE,1980,6150733,0
AZE,1981,6249314,0
AZE,1982,6349553,0
AZE,1983,6452069,0
AZE,1984,6557581,0
AZE,1985,6666447,0
AZE,1986,6778624,0
AZE,1987,6893489,0
AZE,1988,7010027,0
AZE,1989,7126881,0
AZE,1990,7159000,0
AZE,1991,7271000,0
AZE,1992,7382000,58
AZE,1993,7495000,66
AZE,1994,7597000,69
AZE,1995,7685000,74
AZE,1996,7763000,74
AZE,1997,7838250,70
AZE,1998,7913000,73
AZE,1999,7982750,75
AZE,2000,8048600,76
AZE,2001,8111200,77
AZE,2002,8171950,76
AZE,2003,8234100,77
AZE,2004,8306500,77
AZE,2005,8391850,75
AZE,2006,8484550,78
AZE,2007,8581300,79
AZE,2008,8763400,81
AZE,2009,8947243,81
AZE,2010,9054332,81
AZE,2011,9173082,87
AZE,2012,9295784,89
AZE,2013,9416801,93
AZE,2014,9535079,94
AZE,2015,9649341,96
AZE,2016,9757812,97
AZE,2017,9854033,95
AZE,2018,9939771,95
AZE,2019,10023318,94
AZE,2020,0,0
BHS,1960,109534,0
BHS,1961,115121,0
BHS,1962,121091,0
BHS,1963,127339,0
BHS,1964,133709,0
BHS,1965,140059,0
BHS,1966,146382,0
BHS,1967,152620,0
BHS,1968,158648,0
BHS,1969,164268,0
BHS,1970,169377,0
BHS,1971,173889,0
BHS,1972,177866,0
BHS,1973,181517,0
BHS,1974,185120,0
BHS,1975,188896,0
BHS,1976,192909,0
BHS,1977,197101,0
BHS,1978,201478,0
BHS,1979,205984,0
BHS,1980,210591,36
BHS,1981,215326,55
BHS,1982,220184,69
BHS,1983,225084,65
BHS,1984,229923,69
BHS,1985,234578,86
BHS,1986,239017,85
BHS,1987,243271,85
BHS,1988,247451,85
BHS,1989,251733,86
BHS,1990,256223,86
BHS,1991,261008,92
BHS,1992,266029,92
BHS,1993,271069,91
BHS,1994,275846,91
BHS,1995,280184,87
BHS,1996,283978,85
BHS,1997,287358,86
BHS,1998,290597,89
BHS,1999,294062,82
BHS,2000,298051,99
BHS,2001,302618,99
BHS,2002,307660,94
BHS,2003,313129,92
BHS,2004,318894,93
BHS,2005,324859,93
BHS,2006,331033,95
BHS,2007,337389,95
BHS,2008,343681,93
BHS,2009,349604,96
BHS,2010,354942,99
BHS,2011,359577,98
BHS,2012,363584,98
BHS,2013,367168,97
BHS,2014,370633,96
BHS,2015,374206,95
BHS,2016,377931,94
BHS,2017,381761,94
BHS,2018,385640,90
BHS,2019,389482,86
BHS,2020,0,0
BHR,1960,162427,0
BHR,1961,167894,0
BHR,1962,173144,0
BHR,1963,178140,0
BHR,1964,182887,0
BHR,1965,187431,0
BHR,1966,191780,0
BHR,1967,196063,0
BHR,1968,200653,0
BHR,1969,206043,0
BHR,1970,212605,0
BHR,1971,220312,0
BHR,1972,229155,0
BHR,1973,239527,0
BHR,1974,251911,0
BHR,1975,266543,0
BHR,1976,283752,0
BHR,1977,303175,0
BHR,1978,323473,0
BHR,1979,342799,0
BHR,1980,359888,72
BHR,1981,374120,75
BHR,1982,385950,79
BHR,1983,396454,83
BHR,1984,407225,86
BHR,1985,419428,90
BHR,1986,433480,92
BHR,1987,448971,95
BHR,1988,465198,96
BHR,1989,481087,96
BHR,1990,495931,94
BHR,1991,509760,99
BHR,1992,523086,94
BHR,1993,536210,94
BHR,1994,549583,96
BHR,1995,563697,95
BHR,1996,578666,96
BHR,1997,594931,98
BHR,1998,613700,98
BHR,1999,636541,97
BHR,2000,664611,97
BHR,2001,697545,99
BHR,2002,735146,98
BHR,2003,778708,97
BHR,2004,829844,98
BHR,2005,889164,98
BHR,2006,958418,98
BHR,2007,1035919,97
BHR,2008,1114641,97
BHR,2009,1185076,98
BHR,2010,1240860,99
BHR,2011,1278151,99
BHR,2012,1299943,99
BHR,2013,1315029,99
BHR,2014,1336075,98
BHR,2015,1371851,98
BHR,2016,1425791,99
BHR,2017,1494074,97
BHR,2018,1569439,99
BHR,2019,1641172,99
BHR,2020,0,0
BGD,1960,48013504,0
BGD,1961,49362843,0
BGD,1962,50752157,0
BGD,1963,52202007,0
BGD,1964,53741716,0
BGD,1965,55385112,0
BGD,1966,57157654,0
BGD,1967,59034249,0
BGD,1968,60918454,0
BGD,1969,62679765,0
BGD,1970,64232482,0
BGD,1971,65531633,0
BGD,1972,66625705,0
BGD,1973,67637530,0
BGD,1974,68742233,0
BGD,1975,70066301,0
BGD,1976,71652381,0
BGD,1977,73463584,0
BGD,1978,75450032,0
BGD,1979,77529045,0
BGD,1980,79639491,0
BGD,1981,81767515,1
BGD,1982,83932127,1
BGD,1983,86142495,1
BGD,1984,88416521,1
BGD,1985,90764183,2
BGD,1986,93187603,4
BGD,1987,95671163,9
BGD,1988,98186350,16
BGD,1989,100695497,49
BGD,1990,103171956,69
BGD,1991,105599127,74
BGD,1992,107983704,66
BGD,1993,110350639,74
BGD,1994,112737683,84
BGD,1995,115169930,69
BGD,1996,117649932,77
BGD,1997,120160564,78
BGD,1998,122682815,77
BGD,1999,125189651,80
BGD,2000,127657854,82
BGD,2001,130088702,85
BGD,2002,132478086,83
BGD,2003,134791603,87
BGD,2004,136986432,99
BGD,2005,139035505,93
BGD,2006,140921167,94
BGD,2007,142660376,94
BGD,2008,144304167,96
BGD,2009,145924797,97
BGD,2010,147575430,94
BGD,2011,149273778,96
BGD,2012,151007807,94
BGD,2013,152764676,96
BGD,2014,154520167,97
BGD,2015,156256276,98
BGD,2016,157970840,98
BGD,2017,159670593,98
BGD,2018,161356039,98
BGD,2019,163046161,98
BGD,2020,0,0
BRB,1960,230980,0
BRB,1961,231718,0
BRB,1962,232633,0
BRB,1963,233630,0
BRB,1964,234586,0
BRB,1965,235413,0
BRB,1966,236088,0
BRB,1967,236659,0
BRB,1968,237241,0
BRB,1969,237955,0
BRB,1970,238896,0
BRB,1971,240094,0
BRB,1972,241515,0
BRB,1973,243069,0
BRB,1974,244644,0
BRB,1975,246154,0
BRB,1976,247583,0
BRB,1977,248937,0
BRB,1978,250203,0
BRB,1979,251351,0
BRB,1980,252394,60
BRB,1981,253298,58
BRB,1982,254082,62
BRB,1983,254788,69
BRB,1984,255497,83
BRB,1985,256263,83
BRB,1986,257107,79
BRB,1987,258019,79
BRB,1988,258977,76
BRB,1989,259957,78
BRB,1990,260936,91
BRB,1991,261905,82
BRB,1992,262886,90
BRB,1993,263874,86
BRB,1994,264893,90
BRB,1995,265955,93
BRB,1996,267049,85
BRB,1997,268187,96
BRB,1998,269336,93
BRB,1999,270451,87
BRB,2000,271515,93
BRB,2001,272500,84
BRB,2002,273425,87
BRB,2003,274329,89
BRB,2004,275284,93
BRB,2005,276323,92
BRB,2006,277477,84
BRB,2007,278700,93
BRB,2008,279946,85
BRB,2009,281104,93
BRB,2010,282131,86
BRB,2011,282987,91
BRB,2012,283700,87
BRB,2013,284296,91
BRB,2014,284825,94
BRB,2015,285324,97
BRB,2016,285796,97
BRB,2017,286233,90
BRB,2018,286641,95
BRB,2019,287025,90
BRB,2020,0,0
BLR,1960,8198000,0
BLR,1961,8271216,0
BLR,1962,8351928,0
BLR,1963,8437232,0
BLR,1964,8524224,0
BLR,1965,8610000,0
BLR,1966,8696496,0
BLR,1967,8785648,0
BLR,1968,8874552,0
BLR,1969,8960304,0
BLR,1970,9040000,0
BLR,1971,9115576,0
BLR,1972,9188968,0
BLR,1973,9257272,0
BLR,1974,9317584,0
BLR,1975,9367000,0
BLR,1976,9411000,0
BLR,1977,9463000,0
BLR,1978,9525000,0
BLR,1979,9584000,0
BLR,1980,9643000,0
BLR,1981,9710000,0
BLR,1982,9776000,0
BLR,1983,9843000,0
BLR,1984,9910000,0
BLR,1985,9975000,0
BLR,1986,10043000,0
BLR,1987,10111000,0
BLR,1988,10140000,0
BLR,1989,10170000,0
BLR,1990,10189000,0
BLR,1991,10194000,0
BLR,1992,10216000,90
BLR,1993,10239000,91
BLR,1994,10227000,92
BLR,1995,10194000,96
BLR,1996,10160000,98
BLR,1997,10117000,98
BLR,1998,10069000,99
BLR,1999,10026738,99
BLR,2000,9979610,99
BLR,2001,9928549,99
BLR,2002,9865548,99
BLR,2003,9796749,50
BLR,2004,9730146,99
BLR,2005,9663915,99
BLR,2006,9604924,99
BLR,2007,9560953,95
BLR,2008,9527985,97
BLR,2009,9506765,96
BLR,2010,9490583,98
BLR,2011,9473172,98
BLR,2012,9464495,98
BLR,2013,9465997,98
BLR,2014,9474511,97
BLR,2015,9489616,99
BLR,2016,9501534,98
BLR,2017,9498264,97
BLR,2018,9483499,97
BLR,2019,9466856,98
BLR,2020,0,0
BEL,1960,9153489,0
BEL,1961,9183948,0
BEL,1962,9220578,0
BEL,1963,9289770,0
BEL,1964,9378113,0
BEL,1965,9463667,0
BEL,1966,9527807,0
BEL,1967,9580991,0
BEL,1968,9618756,0
BEL,1969,9646032,0
BEL,1970,9655549,0
BEL,1971,9673162,0
BEL,1972,9711115,0
BEL,1973,9741720,0
