,ds,yhat_lower,yhat_upper,yhat
0,1960-01-01,20.34670006157552,55.51797033593144,38.11704779078005
1,1961-01-01,27.339192702920077,62.024231728704436,44.545466560810254
2,1962-01-01,24.767244653423955,58.114800957713804,40.772802484652125
3,1963-01-01,20.76726571661293,55.2642253390342,37.81195437528589
4,1964-01-01,17.528585215833285,53.30133845942474,35.665789320058785
5,1965-01-01,25.742232580880515,60.02250407579852,42.09420809003663
6,1966-01-01,21.452053811505866,55.88693253725214,38.321544013828365
7,1967-01-01,17.16316118409871,52.7967497060595,35.360695904117044
8,1968-01-01,16.713315274392972,49.956721144005066,33.21453084854677
9,1969-01-01,21.48810096350142,57.38573437624672,39.64294961827121
10,1970-01-01,18.760001456575004,53.16286354123662,35.870285541567114
11,1971-01-01,16.11912762698427,49.971573013502216,32.909437431544184
12,1972-01-01,12.595809566716873,48.34781573583871,30.763272375914838
13,1973-01-01,19.610455831714052,53.6135115614621,37.191691145639524
14,1974-01-01,15.264775473904361,50.96190867438194,33.419027068929175
15,1975-01-01,13.196740224332437,47.93007551059444,30.458178958894095
16,1976-01-01,9.37892193601389,46.168197314326854,28.312013903081017
17,1977-01-01,16.625351110394472,52.27698363074093,34.74043267262057
18,1978-01-01,15.231155159636458,47.43704556539349,30.967768596073537
19,1979-01-01,10.842948105181083,44.572661969989106,28.00692048619716
20,1980-01-01,8.352514151680277,44.25985781659879,25.860755430355272
21,1981-01-01,15.331319738764574,49.74298730249093,32.28917419986714
22,1982-01-01,11.793862915442677,46.392399534330636,28.51651012301322
23,1983-01-01,8.322199006693586,42.921424383847956,25.555662012836393
24,1984-01-01,7.331808524380071,40.381960830861885,23.409496956728013
25,1985-01-01,13.00412653907281,47.643080393552985,29.837915726183724
26,1986-01-01,8.926979977893046,44.49998932852448,26.06525164947094
27,1987-01-01,5.827648634567958,39.99692497945255,23.104403539363577
28,1988-01-01,3.447287278924068,39.08170880373395,20.958238483397334
29,1989-01-01,10.033526540891819,44.682840238118935,27.386657252615986
30,1990-01-01,4.164939640401406,40.06364194227807,23.613993175646534
31,1991-01-01,3.537450323328636,38.14362975052524,20.65314506550455
32,1992-01-01,1.2344837154493422,35.18137023233356,18.50698000951012
33,1993-01-01,5.3777983367127025,42.776036910458046,24.935398778823973
34,1994-01-01,4.308315207436668,39.52601068904839,21.162734701960577
35,1995-01-01,-0.7976562298904879,35.85414354581813,18.20188659177755
36,1996-01-01,-1.8843618793723462,33.238886767417114,16.05572153573928
37,1997-01-01,4.58678495682699,39.04623760663415,22.484140304868284
38,1998-01-01,0.7884349574556548,36.34080820752036,18.71147622782643
39,1999-01-01,-1.8708586636902367,33.02584420652997,15.750628117528729
40,2000-01-01,-2.465856475912429,30.604779729073375,13.604463061334096
41,2001-01-01,1.7184074660278357,38.19792083503609,20.032881830529096
42,2002-01-01,-0.634198202669834,34.78527176733006,16.260217753539465
43,2003-01-01,-4.626061601578314,29.362190305396204,13.29936964323283
44,2004-01-01,-7.4167631707320325,28.227911248676165,11.153221846731189
45,2005-01-01,0.6333503400670366,35.639649582773984,17.58165792285159
46,2006-01-01,-3.767786513951546,33.18304179153377,13.809011105353266
47,2007-01-01,-6.468273852368915,29.368839509541214,10.848180254519615
48,2008-01-01,-9.75193024212925,25.69182681168538,8.702032457593038
49,2009-01-01,-1.8147394454990229,31.020233214648044,15.130468533306374
50,2010-01-01,-6.011717227659721,29.296178632030472,11.357821715552136
51,2011-01-01,-8.391425778545035,25.04398399681628,8.396990864475365
52,2012-01-01,-11.34306888060953,22.95612012942914,6.250843067552197
53,2013-01-01,-5.143783650649433,31.056706909272354,12.679279143267877
54,2014-01-01,-8.9983437025948,26.026761249809738,8.906632325502024
55,2015-01-01,-12.090985745214798,24.118602089330604,5.945801474436944
56,2016-01-01,-14.076064491614037,21.58937530316911,3.7996536775104106
57,2017-01-01,-8.132324199455741,28.242478962136346,10.228089753227371
58,2018-01-01,-12.103104756802209,23.662113460924836,6.455442935473176
59,2019-01-01,-13.622786009229095,20.007219852418046,3.494612084397919
60,2020-01-01,-15.944804390299977,18.753406679218475,1.3484642874721038
61,2021-01-01,-8.573151309884764,26.995937191006263,7.776900363179232
62,2022-01-01,-13.256485133022025,21.58303460779083,4.004253545430253
63,2023-01-01,-16.121939260463964,18.343473059856457,1.043422694360866
64,2024-01-01,-18.26824373194382,16.765769736900506,-1.1027251025645
65,2025-01-01,-13.008100800229027,23.232474792999593,5.3257109731532974
66,2026-01-01,-17.434705823368233,18.16323338788456,1.553064155388239
67,2027-01-01,-18.64120546621792,15.389384344472894,-1.4077666956830501
68,2028-01-01,-20.794160312216597,14.527341429578032,-3.553914492604169
69,2029-01-01,-15.178007497520618,19.20841186348432,2.8745215831000452
70,2030-01-01,-17.30148957531926,16.81405680425412,-0.8981252346310729
