LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
FRA,BANKLEVERAGE,TOT,PC_NVA,A,1995,19.49,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,1996,19.82064,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,1997,15.3127,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,1998,18.01787,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,1999,13.62333,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2000,13.21254,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2001,13.45036,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2002,14.32126,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2003,13.77979,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2004,12.86395,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2005,12.64183,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2006,11.92598,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2007,16.35229,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2008,27.60903,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2009,18.73809,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2010,19.10091,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2011,25.78783,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2012,21.7904,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2013,19.02863,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2014,20.57559,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2015,19.13664,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2016,17.30323,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2017,17.6503,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2018,21.8062,
FRA,BANKLEVERAGE,TOT,PC_NVA,A,2019,19.40592,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,1995,11.745,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,1996,9.063849,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,1997,9.017883,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,1998,8.896352,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,1999,8.995912,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2000,8.524417,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2001,6.668347,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2002,8.438833,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2003,7.303699,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2004,7.769576,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2005,7.698458,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2006,7.758839,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2007,9.341153,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2008,17.64679,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2009,11.05696,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2010,9.769064,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2011,11.66572,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2012,10.12977,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2013,8.398548,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2014,8.343622,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2015,8.788183,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2016,8.524267,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2017,9.360696,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2018,12.51036,
SWE,BANKLEVERAGE,TOT,PC_NVA,A,2019,13.15782,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,1995,14.68234,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,1996,14.46372,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,1997,11.72711,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,1998,11.16257,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,1999,11.94712,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2000,14.83024,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2001,17.10073,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2002,19.68141,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2003,19.556,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2004,18.06895,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2005,17.80273,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2006,20.34016,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2007,25.59352,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2008,32.79197,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2009,28.40063,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2010,25.18002,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2011,25.38322,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2012,18.63484,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2013,15.04426,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2014,13.62243,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2015,11.61753,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2016,11.50342,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2017,11.97271,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2018,11.81147,
NOR,BANKLEVERAGE,TOT,PC_NVA,A,2019,11.57678,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2003,7.918681,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2004,7.380497,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2005,8.520849,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2006,7.640059,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2007,8.752827,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2008,9.735389,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2009,8.722301,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2010,6.213436,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2011,7.637224,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2012,8.369493,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2013,8.69424,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2014,9.417363,
CHL,BANKLEVERAGE,TOT,PC_NVA,A,2015,9.536159,
